sentence,entities,country_entities
"After a period of diplomatic and military escalation known as the July Crisis , by the end of July 1914 two coalitions were at war the Allies, comprised initially of the British Empire , France , and the Russian Empire  and the Central Powers , comprised initially of the German Empire and AustriaHungary .  ","['the July Crisis', 'the end of July 1914', 'the British Empire', 'France', 'the Russian Empire', 'the Central Powers', 'the German Empire', 'AustriaHungary']",['France']
"1   2  In 1917, Russia ended hostile actions against the Central Powers after the fall of the Tsar.","['1', '1917', 'Russia', 'the Central Powers', 'Tsar']",['Russia']
"The Bolsheviks negotiated the Treaty of BrestLitovsk with Germany, although it was a huge cost to Russia.","['Bolsheviks', 'Treaty', 'BrestLitovsk', 'Germany', 'Russia']","['Germany', 'Russia']"
"In the treaty, Bolshevik Russia ceded the Baltic states to Germany, and its province of Kars Oblast in the South Caucasus to the Ottoman Empire .","['Bolshevik Russia', 'Baltic', 'Germany', 'Kars Oblast', 'the South Caucasus', 'the Ottoman Empire']",['Germany']
It also recognized the independence of Ukraine .  ,['Ukraine'],['Ukraine']
"Although Germany shifted huge forces from the eastern to the western front after signing the treaty, it was unable to stop the Allied advance, especially with the entrance of American troops in 1918.  ","['Germany', 'Allied', 'American', '1918']",['Germany']
"Germany, 1933 Fascism first appeared in Italy with the rise to power of Benito Mussolini in 1922.  ","['Germany', '1933', 'Italy', 'Benito Mussolini', '1922']","['Germany', 'Italy']"
"When Adolf Hitler came to power in Germany in 1933, a new variant of fascism called Nazism took over Germany and ended the German experiment with democracy.","['Adolf Hitler', 'Germany', '1933', 'Nazism', 'Germany', 'German']","['Germany', 'Germany']"
"The Nazi Party in Germany was dedicated to the restoration of German honor and prestige, the unification of Germanspeaking peoples, and the annexation of Central and Eastern Europe as vassal states, with the Slavic population to act as slave labor to serve German economic interests.  ","['The Nazi Party', 'Germany', 'German', 'Central and Eastern Europe', 'Slavic', 'German']",['Germany']
They could see nothing wrong with a strong Germany ready to take on the communist menace to the east.,['Germany'],['Germany']
"33  Hitler began to put his plan in motion, annexing Austria in the Anschluss , or reunification of Austria to Germany, in 1938.  ","['33', 'Hitler', 'Austria', 'Austria', 'Germany', '1938']","['Austria', 'Austria', 'Germany']"
37  Spain also became a dictatorship under the leadership of General Francisco Franco after the Spanish Civil War .  ,"['37', 'Spain', 'Francisco Franco', 'the Spanish Civil War']",['Spain']
"The signing of the MolotovRibbentrop Pact in Moscow, 23 August 1939 Soon after the events in Czechoslovakia, Britain and France issued assurances of protection to Poland, which seemed to be next on Hitlers list.","['the MolotovRibbentrop Pact', 'Moscow', '23 August 1939', 'Czechoslovakia', 'Britain', 'France', 'Poland']","['France', 'Poland']"
"World War II officially began on 1 September 1939, when Hitler unleashed his Blitzkrieg , or lightning war, against Poland.","['World War II', '1 September 1939', 'Hitler', 'Blitzkrieg', 'Poland']",['Poland']
"Britain and France, much to Hitlers surprise, immediately declared war upon Germany, but the help they delivered to Poland was negligible.  ","['Britain', 'France', 'Germany', 'Poland']","['France', 'Germany', 'Poland']"
"39  Sixteen days later, Poland was attacked from the East by Soviet Union, acting in a secret alliance with Nazi Germany.  ","['39  Sixteen days later', 'Poland', 'East', 'Soviet Union', 'Nazi Germany']",['Poland']
"As Hitlers forces conquered Poland, the Soviet Union , under General Secretary Joseph Stalin , was acting out guarantees of territory under a secret part of a nonaggression pact between the USSR and Germany known as the MolotovRibbentrop Pact .","['Poland', 'the Soviet Union', 'Joseph Stalin', 'USSR', 'Germany', 'the MolotovRibbentrop Pact']","['Poland', 'Germany']"
"This treaty gave Stalin free rein to take the Baltic republics of Estonia , Latvia, and Lithuania , as well as Eastern Poland, all of which would remain in Soviet possession after the war.  ","['Stalin', 'Baltic', 'Estonia', 'Latvia', 'Lithuania', 'Eastern Poland', 'Soviet']","['Estonia', 'Latvia', 'Lithuania']"
"42  Stalin also launched an attack on Finland, which he hoped to reduce to little more than a Soviet puppet state, but the Red Army met staunch Finnish resistance in what became known as the Winter War and succeeded in gaining only limited territory from the Finns.  ","['42', 'Stalin', 'Finland', 'Soviet', 'the Red Army', 'Finnish', 'the Winter War', 'Finns']",['Finland']
This action would later cause the Finns to ally with Germany when its attack on the Soviet Union came in 1941.  ,"['Finns', 'Germany', 'the Soviet Union', '1941']",['Germany']
"44  Blitzkrieg  edit  After the defeat of Poland, a period known as the Phony War ensued during the winter of 19391940, which saw only limited military land operation on the Western Front .  ","['44', 'Blitzkrieg', 'Poland', 'the Phony War', 'the winter of 19391940', 'the Western Front']",['Poland']
"45  This changed when Hitler occupied Denmark and Norway, beginning on 9 April 1940.","['45', 'Hitler', 'Denmark', 'Norway', '9 April 1940']","['Denmark', 'Norway']"
Norway was strategically important because of its sea routes which supplied crucial Swedish ore to the Nazi war machine.,"['Norway', 'Swedish', 'Nazi']",['Norway']
"Norway held on for a few crucial weeks, but Denmark surrendered after only six hours .  ","['Norway', 'a few crucial weeks', 'Denmark', 'only six hours']","['Norway', 'Denmark']"
"46   47  Sweden was the only Scandinavian country to successfully maintain its neutrality throughout the war, with occasional breaches of neutrality in favor of both Germany and the Western Allies .  ","['46', '47', 'Sweden', 'Scandinavian', 'Germany', 'the Western Allies']","['Sweden', 'Germany']"
"48  On the 10 May 1940, when the Germans launched a massive attack on the Low Countries Belgium, the Netherlands, and Luxembourg , likely to surmount the Maginot Line of defenses on the FrancoGerman border.  ","['48', 'May 1940', 'Germans', 'Netherlands', 'Luxembourg', 'the Maginot Line', 'FrancoGerman']","['Netherlands', 'Luxembourg']"
"The worst of this was that King Leopold III of Belgium surrendered to the Germans on 28 May without warning his allies, exposing the entire flank of the Allied forces to German panzer groups.  ","['King Leopold III', 'Belgium', 'Germans', '28 May', 'Allied', 'German']",['Belgium']
"50  With the disaster in the Low Countries, France, considered at the time to have had the finest army in the world, lasted only six weeks, with Paris being occupied on 14 June.","['50', 'France', 'only six weeks', 'Paris', '14 June']",['France']
"The debacle in France also led to one of the wars greatest mysteries, and Hitlers first great blunder, Dunkirk , where a third of a million trapped British and French soldiers were evacuated by not only British war boats, but every craft the army could find, including fishing boats.","['France', 'one', 'Dunkirk', 'a third', 'million', 'British', 'French', 'British']",['France']
"Hitler did not occupy all of France, but about threequarters, including all of the Atlantic coast, allowing Marshal Ptain to remain as dictator of an area known as Vichy France .  ","['Hitler', 'France', 'Atlantic', 'Vichy France']",['France']
"However, members of the escaped French Army formed around General Charles de Gaulle to create the Free French forces, which would continue to battle Hitler in the stead of an independent France.  ","['the escaped', 'French Army', 'Charles de Gaulle', 'French', 'Hitler', 'France']",['France']
